Entity,Code,Day,p_avg_all_ages
Albania,ALB,2020-01-31,-10.654466
Albania,ALB,2020-02-29,2.1668692
Albania,ALB,2020-03-31,0.61591274
Albania,ALB,2020-04-30,3.2272832
Albania,ALB,2020-05-31,6.146238
Albania,ALB,2020-06-30,9.30204
Albania,ALB,2020-07-31,22.733454
Albania,ALB,2020-08-31,44.9479
Albania,ALB,2020-09-30,29.39026
Albania,ALB,2020-10-31,44.359005
Albania,ALB,2020-11-30,118.455956
Albania,ALB,2020-12-31,53.57527
Albania,ALB,2021-01-31,22.64074
Albania,ALB,2021-02-28,91.01863
Albania,ALB,2021-03-31,74.0206
Albania,ALB,2021-04-30,38.418404
Albania,ALB,2021-05-31,10.326151
Albania,ALB,2021-06-30,11.943967
Albania,ALB,2021-07-31,3.1278331
Albania,ALB,2021-08-31,21.765602
Albania,ALB,2021-09-30,63.59838
Albania,ALB,2021-10-31,53.730625
Albania,ALB,2021-11-30,42.047386
Albania,ALB,2021-12-31,35.57664
Albania,ALB,2022-01-31,34.89664
Albania,ALB,2022-02-28,40.441475
Albania,ALB,2022-03-31,3.1401453
Albania,ALB,2022-04-30,-2.0943007
Albania,ALB,2022-05-31,-0.97727543
Albania,ALB,2022-06-30,2.7893832
Albania,ALB,2022-07-31,12.817316
Albania,ALB,2022-08-31,11.637981
Albania,ALB,2022-09-30,-0.052226137
Albania,ALB,2022-10-31,0.44455123
Albania,ALB,2022-11-30,-4.432604
Albania,ALB,2022-12-31,-0.9097134
Albania,ALB,2023-01-31,-11.226407
Albania,ALB,2023-02-28,-3.8578372
Albania,ALB,2023-03-31,-10.793619
Albania,ALB,2023-04-30,-4.554818
Albania,ALB,2023-05-31,-0.15306723
Albania,ALB,2023-06-30,-2.5559106
Albania,ALB,2023-07-31,13.32729
Albania,ALB,2023-08-31,0.63224447
Albania,ALB,2023-09-30,5.6926494
Albania,ALB,2023-10-31,-0.27634266
Albania,ALB,2023-11-30,-5.056116
Albania,ALB,2023-12-31,-10.789396
Albania,ALB,2024-01-31,-11.348967
Albania,ALB,2024-02-29,-1.2758201
Albania,ALB,2024-03-31,-28.463247
Albania,ALB,2024-04-30,-3.1242847
Albania,ALB,2024-05-31,-1.2716354
Albania,ALB,2024-06-30,1.0076185
Albania,ALB,2024-07-31,21.260199
Albania,ALB,2024-08-31,14.974828
Albania,ALB,2024-09-30,6.9983025
Albania,ALB,2024-10-31,-0.09611919
Albania,ALB,2024-11-30,-3.6957262
Albania,ALB,2024-12-31,-22.185268
Algeria,DZA,2020-01-31,3.7238967
Algeria,DZA,2020-02-29,3.5075057
Algeria,DZA,2020-03-31,4.275348
Algeria,DZA,2020-04-30,6.281002
Algeria,DZA,2020-05-31,1.9843488
Algeria,DZA,2020-06-30,34.08751
Algeria,DZA,2020-07-31,130.42976
Algeria,DZA,2020-08-31,62.942486
Algeria,DZA,2020-09-30,26.347065
Algeria,DZA,2020-10-31,30.63025
Algeria,DZA,2020-11-30,79.73237
Algeria,DZA,2020-12-31,34.052567
Algeria,DZA,2021-01-31,6.8239737
Algeria,DZA,2021-02-28,-3.3175225
Algeria,DZA,2021-03-31,6.687586
Algeria,DZA,2021-04-30,10.127868
Algeria,DZA,2021-05-31,15.735047
Algeria,DZA,2021-06-30,28.201822
Algeria,DZA,2021-07-31,128.51517
Algeria,DZA,2021-08-31,213.62575
Algeria,DZA,2021-09-30,50.377197
Algeria,DZA,2021-10-31,19.504421
Algeria,DZA,2021-11-30,22.419138
Algeria,DZA,2021-12-31,39.600044
Algeria,DZA,2022-01-31,53.40117
Algeria,DZA,2022-02-28,40.065975
Algeria,DZA,2022-03-31,2.6083546
Algeria,DZA,2022-04-30,-1.0217588
Algeria,DZA,2022-05-31,6.071828
Algeria,DZA,2022-06-30,2.9887261
Algeria,DZA,2022-07-31,7.7330437
Algeria,DZA,2022-08-31,11.134504
Algeria,DZA,2022-09-30,5.157254
Algeria,DZA,2022-10-31,2.9579685
Algeria,DZA,2022-11-30,10.125808
Algeria,DZA,2022-12-31,9.936363
Algeria,DZA,2023-01-31,4.6188245
Algeria,DZA,2023-02-28,-0.4677968
Algeria,DZA,2023-03-31,2.1768975
Algeria,DZA,2023-04-30,4.2563357
Algeria,DZA,2023-05-31,3.3468418
Algeria,DZA,2023-06-30,0.91690785
Algeria,DZA,2023-07-31,33.81764
Algeria,DZA,2023-08-31,7.3922133
Algeria,DZA,2023-09-30,6.2977414
Algeria,DZA,2023-10-31,4.286021
Algeria,DZA,2023-11-30,5.044208
Algeria,DZA,2023-12-31,14.414372
Andorra,AND,2020-01-31,3.030303
Andorra,AND,2020-02-29,40.151516
Andorra,AND,2020-03-31,29.87013
Andorra,AND,2020-04-30,163.1579
Andorra,AND,2020-05-31,80
Andorra,AND,2020-06-30,7.4380164
Andorra,AND,2020-07-31,12.403101
Andorra,AND,2020-08-31,-19.491526
Andorra,AND,2020-09-30,14.406779
Andorra,AND,2020-10-31,97.674416
Andorra,AND,2020-11-30,-22.764227
Andorra,AND,2020-12-31,38.51351
Andorra,AND,2021-01-31,57.575756
Andorra,AND,2021-02-28,36.363636
Andorra,AND,2021-03-31,-15.584415
Andorra,AND,2021-04-30,88.59649
Andorra,AND,2021-05-31,60
Andorra,AND,2021-06-30,-21.487604
Andorra,AND,2021-07-31,12.403101
Andorra,AND,2021-08-31,18.644068
Andorra,AND,2021-09-30,10.169492
Andorra,AND,2021-10-31,4.6511626
Andorra,AND,2021-11-30,5.6910567
Andorra,AND,2021-12-31,41.89189
Antigua and Barbuda,ATG,2020-01-31,19.617226
Antigua and Barbuda,ATG,2020-02-29,-6.7460318
Antigua and Barbuda,ATG,2020-03-31,9.489051
Antigua and Barbuda,ATG,2020-04-30,10.859729
Antigua and Barbuda,ATG,2020-05-31,13.043478
Antigua and Barbuda,ATG,2020-06-30,-8.695652
Antigua and Barbuda,ATG,2020-07-31,9.523809
Antigua and Barbuda,ATG,2020-08-31,-18.518518
Antigua and Barbuda,ATG,2020-09-30,-5.063291
Antigua and Barbuda,ATG,2020-10-31,-2.7237353
Antigua and Barbuda,ATG,2020-11-30,2.9411764
Antigua and Barbuda,ATG,2020-12-31,-11.111111
Antigua and Barbuda,ATG,2021-01-31,33.97129
Antigua and Barbuda,ATG,2021-02-28,34.920635
Antigua and Barbuda,ATG,2021-03-31,0.3649635
Antigua and Barbuda,ATG,2021-04-30,13.122172
Antigua and Barbuda,ATG,2021-05-31,0
Antigua and Barbuda,ATG,2021-06-30,-15.217391
Antigua and Barbuda,ATG,2021-07-31,30.952381
Antigua and Barbuda,ATG,2021-08-31,-12.962963
Antigua and Barbuda,ATG,2021-09-30,119.40929
Antigua and Barbuda,ATG,2021-10-31,-49.416344
Antigua and Barbuda,ATG,2021-11-30,34.45378
Antigua and Barbuda,ATG,2021-12-31,-13.333333
Argentina,ARG,2020-01-31,-2.5186145
Argentina,ARG,2020-02-29,2.2421637
Argentina,ARG,2020-03-31,0.1382701
Argentina,ARG,2020-04-30,-4.0302596
Argentina,ARG,2020-05-31,-8.468849
Argentina,ARG,2020-06-30,-14.624456
Argentina,ARG,2020-07-31,2.4347825
Argentina,ARG,2020-08-31,16.619774
Argentina,ARG,2020-09-30,38.337074
Argentina,ARG,2020-10-31,45.242657
Argentina,ARG,2020-11-30,36.293686
Argentina,ARG,2020-12-31,19.68341
Argentina,ARG,2021-01-31,30.972477
Argentina,ARG,2021-02-28,23.595505
Argentina,ARG,2021-03-31,23.194807
Argentina,ARG,2021-04-30,54.253437
Argentina,ARG,2021-05-31,75.5432
Argentina,ARG,2021-06-30,54.26893
Argentina,ARG,2021-07-31,27.67826
Argentina,ARG,2021-08-31,16.453722
Argentina,ARG,2021-09-30,0.5411602
Argentina,ARG,2021-10-31,3.0615864
Argentina,ARG,2021-11-30,6.484447
Argentina,ARG,2021-12-31,11.332105
Argentina,ARG,2022-01-31,82.57317
Argentina,ARG,2022-02-28,42.485485
